task_id,level,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff
l3_product_diff,3,oracle_coords_only,baseline,0.025232833815370573,-0.007628909272207892,0.15030522378321942,0.06965272750771122,0.038476580261189754,0.1966937942741034,0.29933764392120543,,,0.016298157162987627,0.005958866619411855,,,0.0005373727906850472,7.999341627128054e-05,,,,,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
l3_product_diff,3,oracle_coords_only,depth4_light,0.017383878734169605,-0.008885333762634067,0.15959207224161395,0.06807206983538218,0.030323505666422883,0.19914400543377564,0.3098954126663872,,,0.01605003204443492,0.005901242371695116,,,0.0004686125951510994,6.228584293492687e-05,,,,,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
l3_product_diff,3,oracle_coords_only,depth7_high_capacity,0.0135571431528301,-0.004000816049895214,0.1697721645230937,0.06662273805548391,0.04301101840170535,0.18880947665353592,0.291603784805949,,,0.013823333546845243,0.006937372226268053,,,0.000405001039361717,0.0001024001108049552,,,,,18,0.6666666666666666,0.43749467295945105,0.837212252491663,18.0
l3_product_diff,3,oracle_s_only,baseline,0.03999395569481248,0.006355734824098758,0.15375981441471429,0.06823139527436071,0.04892782938682945,0.1966937942741034,0.3054464372628045,,,0.016298157162987627,0.0023679271340370177,,,0.0005373727906850472,1.9047378872181304e-05,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l3_product_diff,3,oracle_s_only,depth4_light,0.030950242625273558,0.005412303480995114,0.16805247240591237,0.0680114932169306,0.04970271434062287,0.19914400543377564,0.3144068456884098,,,0.01605003204443492,0.002312725231051445,,,0.0004686125951510994,1.7716870423761013e-05,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l3_product_diff,3,oracle_s_only,depth7_high_capacity,0.04501696646952977,0.002005058860453896,0.18454161780695333,0.0770465084019949,0.053678255300102444,0.18880947665353592,0.3094755391277132,,,0.013823333546845243,0.00510757057480514,,,0.000405001039361717,5.326755524365769e-05,,,,,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
l3_ratio_diff,3,oracle_coords_only,baseline,0.028485245596875625,0.003821846176778496,0.14951943612729768,0.056305916024668,0.035624294937036546,0.22666879331287376,0.321253091918034,0.014673330675670877,0.002791505240648985,,,0.0006124343043550466,2.5453974983168583e-05,,,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l3_ratio_diff,3,oracle_coords_only,depth4_light,0.024836058607235728,0.005319119686297017,0.14923744305348127,0.05542771675780786,0.034394853008261665,0.22769863192641152,0.3287868561124958,0.014434873995278031,0.0021676899956539273,,,0.0006705796990190012,2.1462823402992327e-05,,,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l3_ratio_diff,3,oracle_coords_only,depth7_high_capacity,0.03202690399344206,0.006950473430676041,0.14923073551889454,0.05816384645192601,0.03245391246441,0.21584628451817073,0.3144701227825698,0.012994925537914969,0.003649690580740571,,,0.00040108173060305106,3.968564371977433e-05,,,,,,,18,1.0,0.8241207763533425,1.0,18.0
l3_ratio_diff,3,oracle_s_only,baseline,0.04976971932956582,0.009402691947366218,0.1509753774583476,0.053108822811858455,0.0275214781793697,0.22666879331287376,0.34129321007855895,0.014673330675670877,0.0029367864061146977,,,0.0006124343043550466,1.8538945932049827e-05,,,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l3_ratio_diff,3,oracle_s_only,depth4_light,0.03831995111444686,0.011765126204923211,0.1507191574997841,0.05459951874329673,0.03067760911212177,0.22769863192641152,0.3375639132914724,0.014434873995278031,0.0014393686302006244,,,0.0006705796990190012,7.639661127302676e-06,,,,,,,18,1.0,0.8241207763533425,1.0,18.0
l3_ratio_diff,3,oracle_s_only,depth7_high_capacity,0.05141643832467313,0.01723944479914911,0.1641476452032328,0.061574963607106396,0.038969208064769806,0.21584628451817073,0.3324551063022375,0.012994925537914969,0.0038931037798523903,,,0.00040108173060305106,3.429732335927676e-05,,,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l4_product_x_product,4,oracle_coords_only,baseline,0.012126517887704566,-0.000472212901221515,0.33551821629996015,0.2172674379746672,0.04417621918538095,0.8037364822637101,0.899329546832442,,,0.01285234422099602,0.003388760027708486,,,0.0016172844372629768,5.4548149691946176e-05,,,,,18,0.8333333333333334,0.6077796189608428,0.9416342319413856,18.0
l4_product_x_product,4,oracle_coords_only,depth4_light,0.015050355819368588,1.577944515083942e-05,0.3884659810995602,0.23143978189647255,0.03958603324879936,0.8026515322832111,0.9032923346904325,,,0.01373518573293404,0.0022790343835484236,,,0.001357296276503898,4.6801367487152824e-05,,,,,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
