task_id,level,task_kind,regime_id,regime_family,seed,n,oracle_mode,model_variant,xgb_config_id,best_iteration,best_score,prauc_oracle,rocauc_oracle,logloss_oracle,ratio_scale_invariance_oracle,product_comp_invariance_oracle,iso_var_ratio_oracle,iso_var_product_oracle,prevalence_train,prevalence_val,prevalence_test,sigma,rho,mixture_json,shift_type,shift_cols_json,dominance_train_mean,dominance_train_median,dominance_train_p90,dominance_test_mean,dominance_test_median,dominance_test_p90,dominance_train_groups_json,dominance_test_groups_json,source_path,prauc_raw,rocauc_raw,logloss_raw,ratio_scale_invariance_raw,product_comp_invariance_raw,iso_var_ratio_raw,iso_var_product_raw,delta_prauc,delta_rocauc,delta_logloss
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,0,30000,oracle_s_only,oracle,depth4_light,58,0.1277471334695982,0.15263928048000736,0.7095773958712182,0.20578287962083225,0.0033158408466726543,,1.3898215046405257e-05,,0.049055555555555554,0.04583333333333333,0.0535,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.13791624078503872,0.6979989676125464,0.21448621608405147,0.012630983252078294,,0.00018577851943536142,,0.014723039694968632,0.011578428258671725,-0.008703336463219219
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,0,30000,oracle_coords_only,oracle,depth4_light,84,0.12502528391748813,0.15557895304628364,0.7065691000181573,0.19475756475451494,0.0024638424159958957,,7.622913963522196e-06,,0.049055555555555554,0.04583333333333333,0.0535,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.13791624078503872,0.6979989676125464,0.21448621608405147,0.012630983252078294,,0.00018577851943536142,,0.01766271226124491,0.008570132405610886,-0.019728651329536523
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,0,30000,oracle_s_only,oracle,baseline,56,0.11340648571148373,0.1442044829310896,0.7080883333086481,0.2310360052749925,0.004326824935525656,,4.043924042295898e-05,,0.049055555555555554,0.04583333333333333,0.0535,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.13775983391907085,0.7003070282984971,0.2500518708725953,0.011164806149154901,,0.00014285032838870466,,0.006444649012018744,0.007781305010150952,-0.019015865597602793
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,0,30000,oracle_coords_only,oracle,baseline,13,0.12084171541389813,0.14420607854198228,0.7057906952377975,0.4534653391958708,0.0019452426493167876,,1.1062426674108483e-05,,0.049055555555555554,0.04583333333333333,0.0535,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.13775983391907085,0.7003070282984971,0.2500518708725953,0.011164806149154901,,0.00014285032838870466,,0.0064462446229114345,0.005483666939300358,0.2034134683232755
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,0,30000,oracle_s_only,oracle,depth7_high_capacity,95,0.10901627017947814,0.13634653472016794,0.7041776584114069,0.20504928669567857,0.005379835646599531,,4.700997285035391e-05,,0.049055555555555554,0.04583333333333333,0.0535,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.137368295898433,0.6951286342698875,0.19586523513832288,0.01373072237689048,,0.00024084246323846043,,-0.0010217611782650515,0.009049024141519424,0.009184051557355688
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,0,30000,oracle_coords_only,oracle,depth7_high_capacity,19,0.11033787817518247,0.14304074474757567,0.7041746413386147,0.4242387400923062,0.0025324441522359847,,1.298405041466623e-05,,0.049055555555555554,0.04583333333333333,0.0535,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.137368295898433,0.6951286342698875,0.19586523513832288,0.01373072237689048,,0.00024084246323846043,,0.0056724488491426694,0.009046007068727269,0.22837350495398334
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,1,30000,oracle_s_only,oracle,depth4_light,139,0.11574839583519668,0.11628337723888751,0.688872437806156,0.1978669892836377,0.0030772127671167254,,1.8656489495320832e-05,,0.050277777777777775,0.051,0.05366666666666667,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.12569191445870936,0.6824020027172546,0.3359538004658884,0.008987524282932282,,0.00010407891361550853,,-0.00940853721982185,0.006470435088901438,-0.13808681118225072
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,1,30000,oracle_coords_only,oracle,depth4_light,71,0.11420755696521419,0.12396868620117234,0.6880085280662643,0.201352948128335,0.0035148277562111617,,2.312996997617826e-05,,0.050277777777777775,0.051,0.05366666666666667,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.12569191445870936,0.6824020027172546,0.3359538004658884,0.008987524282932282,,0.00010407891361550853,,-0.0017232282575370267,0.005606525349009739,-0.1346008523375534
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,1,30000,oracle_s_only,oracle,baseline,89,0.11737525507268769,0.12142096790814788,0.686540783978262,0.2034198486214879,0.003208143652975559,,2.1858097552512516e-05,,0.050277777777777775,0.051,0.05366666666666667,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.12068601616433042,0.6869583813738982,0.20230934711399076,0.014440216035023332,,0.0002869949199011569,,0.0007349517438174635,-0.00041759739563618226,0.0011105015074971414
l1_ratio,1,ratio,ln_sigma0.3_rho0.0,tail_corr,1,30000,oracle_coords_only,oracle,baseline,0,0.1121646318013798,0.10326927678015144,0.6691447211532361,0.6692338315134978,1.1437427997589112e-05,,1.6675922570899004e-07,,0.050277777777777775,0.051,0.05366666666666667,0.3,0.0,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.12068601616433042,0.6869583813738982,0.20230934711399076,0.014440216035023332,,0.0002869949199011569,,-0.01741673938417898,-0.01781366022066211,0.46692448439950707
