level,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff,delta_prauc_median_loo_task_min,delta_prauc_median_loo_task_max,delta_prauc_median_loo_task_n_loo
1,oracle_coords_only,baseline,0.006042680183930074,-0.011611650703036935,0.09116058780043577,0.08837527077053577,0.025152605086079936,0.2045634358048086,0.2439634088784654,0.010922901535965503,0.001936819826066494,0.01346159048662521,0.004000515455007553,0.00019406073740470747,1.0973276141342063e-05,0.0005206401016208939,6.213353541553122e-05,,,,,36,0.7222222222222222,0.5600751000260289,0.841516620598654,36.0,0.0009581297212882672,0.011781855627133131,2.0
1,oracle_coords_only,depth4_light,0.00702856112566673,-0.008793838256074604,0.08009076377307256,0.08935642159814229,0.02861362602299795,0.207421940391125,0.23685424972793018,0.011037618524348362,0.0018119016925804317,0.013114064930193126,0.002677859195135534,0.00021590950772478867,7.874281814124177e-06,0.0005504631121836108,2.657350021411614e-05,,,,,36,0.6944444444444444,0.5314372714948966,0.8199554840517008,36.0,0.005331536919017277,0.0074271953684720005,2.0
1,oracle_coords_only,depth7_high_capacity,0.009099674819335199,-0.011727595678077365,0.10733583083716378,0.09151364129263122,0.033629319323987,0.1906555572375475,0.2292961762921601,0.010522743585333227,0.0024122826508712024,0.013157725382409991,0.00443631726205349,0.0002119910144311483,1.3103057755842147e-05,0.0004780759399528678,6.422787420332329e-05,,,,,36,0.6944444444444444,0.5314372714948966,0.8199554840517008,36.0,0.007817609112482998,0.016809202162841638,2.0
1,oracle_s_only,baseline,0.00796628176416847,-0.009763420262961856,0.09887668593368314,0.08976469173808455,0.029189236208358345,0.2045634358048086,0.23870621509407874,0.010922901535965503,0.0020654876455664635,0.01346159048662521,0.004032563824998215,0.00019406073740470747,1.0605176079071988e-05,0.0005206401016208939,4.9630304851523485e-05,,,,,36,0.6944444444444444,0.5314372714948966,0.8199554840517008,36.0,0.004634337833314711,0.012347383673864898,2.0
1,oracle_s_only,depth4_light,0.0061834344524854395,-0.013010601206995667,0.08161571883483114,0.08991883339528256,0.02895803540908181,0.207421940391125,0.24431596580123244,0.011037618524348362,0.0014279360972344875,0.013114064930193126,0.002655727069126442,0.00021590950772478867,4.739049170791413e-06,0.0005504631121836108,1.897011587604389e-05,,,,,36,0.6388888888888888,0.4757507548555804,0.7752440705348462,36.0,0.002573902844408074,0.00853726886858347,2.0
1,oracle_s_only,depth7_high_capacity,0.00970728028730354,-0.01910148619044756,0.11625096211509722,0.09064769013890252,0.03061391242211181,0.1906555572375475,0.22595966746558013,0.010522743585333227,0.0030486682064831258,0.013157725382409991,0.005186070578172802,0.0002119910144311483,1.9467028097099305e-05,0.0004780759399528678,7.045834526626352e-05,,,,,36,0.6388888888888888,0.4757507548555804,0.7752440705348462,36.0,0.005279102823900525,0.017405606110329833,2.0
2,oracle_coords_only,baseline,0.0113328886943918,-0.0033319638593647394,0.07182900465105416,0.05819449363162185,0.03391527967114878,0.1316528902278095,0.16135997154931409,0.009471022742334754,0.0010648290388286113,0.01381687207315117,0.004696529527753592,0.00013697886465121646,5.516169568077435e-06,0.00042176816764936405,4.9299812869860266e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36,0.7777777777777778,0.6191529705388181,0.8828366802420353,36.0,0.01086111266462561,0.017519366310638877,2.0
2,oracle_coords_only,depth4_light,0.012280091408979538,-0.005926155096554933,0.07028331965481463,0.05918588225759126,0.03044661978922754,0.1352283828050086,0.15171948373874855,0.009494561515003441,0.000938129435479641,0.011604366366937756,0.0034021060748666058,0.00014315441306678658,3.2940821945550217e-06,0.0005312782524174138,3.0263021628262456e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36,0.7777777777777778,0.6191529705388181,0.8828366802420353,36.0,0.009616646114733923,0.015016268896150792,2.0
2,oracle_coords_only,depth7_high_capacity,0.012949596304891536,0.0015388493338410678,0.06976023764853964,0.05516555331775523,0.035783395726130776,0.12214545102928107,0.15311059109784625,0.009385990660917014,0.0026200620707124474,0.013852137903403491,0.004940112503059208,0.00016459312201874655,1.4898681261724146e-05,0.0005715000563918931,6.340074043412933e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36,0.9444444444444444,0.8185534279135275,0.9846300133358382,36.0,0.01140921102863815,0.023747517830777026,2.0
2,oracle_s_only,baseline,0.014138259707991263,-7.91104221835176e-05,0.06688574381088568,0.06123381753434123,0.031501438253699277,0.1316528902278095,0.15685986588523249,0.009471022742334754,0.0019309236983768641,0.01381687207315117,0.004651749462634325,0.00013697886465121646,8.804269073408361e-06,0.00042176816764936405,6.943608892702181e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36,0.8888888888888888,0.7468519140963513,0.9559335969968435,36.0,0.01205605484980482,0.022323040686380725,2.0
