regime_family,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff,delta_prauc_median_loo_task_min,delta_prauc_median_loo_task_max,delta_prauc_median_loo_task_n_loo
mixture_extremes,oracle_coords_only,baseline,0.01598634367494306,0.002924214071492799,0.04606046776201403,0.02934391975559302,0.029427852623428112,0.2779329021632127,0.30251092494867216,0.006994201897829771,0.0017549884736537933,0.011769877947773785,0.003650735853612423,0.0001327155842689441,1.0771237176870407e-05,0.0004089972914562865,5.2424566078107584e-05,0.5730995981029654,0.6473902339717632,0.573916100113226,0.64853152554545,36,0.9722222222222222,0.8583028134672614,0.9950795928601897,36.0,0.013016103550032132,0.020481307794138565,12.0
mixture_extremes,oracle_coords_only,depth4_light,0.017506816095818972,0.0016605544544432763,0.05388666744679274,0.03238682603352729,0.0248353975313148,0.28181781596062155,0.3091293615539833,0.008477436356060207,0.0009894694656133651,0.012836141837760806,0.0035520800851285457,0.0001628342989005041,1.2717729133356774e-05,0.0003729100772544425,3.861749703906649e-05,0.5730995981029654,0.6473902339717632,0.573916100113226,0.64853152554545,36,0.9444444444444444,0.8185534279135275,0.9846300133358382,36.0,0.016472954256157246,0.01858517827080247,12.0
mixture_extremes,oracle_coords_only,depth7_high_capacity,0.026720800257094945,0.005428027985560715,0.05131891153399035,0.030632687628044275,0.03434773524660792,0.2620756781895457,0.30192721004016054,0.005658476369082927,0.0022283716641366483,0.01183132351897657,0.003709690793696791,0.00011830910883366362,1.362836903066431e-05,0.00037780991032284326,4.800408014257422e-05,0.5730995981029654,0.6473902339717632,0.573916100113226,0.64853152554545,36,0.9722222222222222,0.8583028134672614,0.9950795928601897,36.0,0.02466481872771048,0.030502498738576023,12.0
mixture_extremes,oracle_s_only,baseline,0.025113909433108067,0.003861064623590111,0.06997218788766799,0.0344375222810561,0.04256482939207718,0.2779329021632127,0.32090752198090217,0.006994201897829771,0.0017324789948761463,0.011769877947773785,0.0024876328647136688,0.0001327155842689441,8.773452770040487e-06,0.0004089972914562865,2.0831110419809253e-05,0.5730995981029654,0.6473902339717632,0.573916100113226,0.64853152554545,36,0.9722222222222222,0.8583028134672614,0.9950795928601897,36.0,0.022099769104173217,0.0325243159243295,12.0
mixture_extremes,oracle_s_only,depth4_light,0.027275138984234393,0.0005993294720561988,0.07661631963879686,0.037971727296293056,0.04324659206069889,0.28181781596062155,0.3289268164975867,0.008477436356060207,0.0009407031083479523,0.012836141837760806,0.0026560916505753993,0.0001628342989005041,3.5674945940802515e-06,0.0003729100772544425,3.459813118719673e-05,0.5730995981029654,0.6473902339717632,0.573916100113226,0.64853152554545,36,0.9166666666666666,0.7817330875072737,0.9712513886640066,36.0,0.021023145590878034,0.034390614848422596,12.0
mixture_extremes,oracle_s_only,depth7_high_capacity,0.032380850015175225,0.005366115737541401,0.0728192458787709,0.03720644389134006,0.04511683130722337,0.2620756781895457,0.31067133569218003,0.005658476369082927,0.001898935765028,0.01183132351897657,0.003755373376607895,0.00011830910883366362,1.4968345431990174e-05,0.00037780991032284326,2.871351778477982e-05,0.5730995981029654,0.6473902339717632,0.573916100113226,0.64853152554545,36,0.9722222222222222,0.8583028134672614,0.9950795928601897,36.0,0.0181619093551042,0.03626483566266653,12.0
shift_naive,oracle_coords_only,baseline,0.015509095347906919,-0.010090323521975031,0.09477803114349084,0.06533142489091312,0.05852916640114915,0.2952131279188708,0.3402532873722261,0.010918950086832047,0.0037487181067466734,0.016693253845151048,0.005580730339884758,0.0002815978641145875,3.9441551426685154e-05,0.0006342843145316266,9.634348973290354e-05,0.6301903563037943,0.760284675463569,0.7225625320160965,0.9000488676239455,36,0.7222222222222222,0.5600751000260289,0.841516620598654,36.0,0.014334778404595072,0.01754736650475458,12.0
shift_naive,oracle_coords_only,depth4_light,0.016125459107733303,-0.00789430781757225,0.08801884059155972,0.06159954651676556,0.04817954089844335,0.344304406574011,0.3644883858317059,0.010774696453660727,0.0019461928129196166,0.017100393054028974,0.003725364498933777,0.0002873664483142656,1.4016287919338376e-05,0.0007908552987811097,4.7745159171780666e-05,0.6301903563037943,0.760284675463569,0.7225625320160965,0.9000488676239455,36,0.8055555555555556,0.6497195700482261,0.9024690458107127,36.0,0.011553749275963976,0.020246583360175076,12.0
shift_naive,oracle_coords_only,depth7_high_capacity,0.017322631065447704,-0.0011709129154742065,0.10192249495278197,0.05900941522502344,0.04329429431073503,0.3057707022897445,0.33798776526275465,0.010976332794874907,0.005722103673964739,0.017342035579588265,0.006012253907322884,0.0003408726748091142,7.440691799402244e-05,0.0005981872503921226,0.00010909537675661882,0.6301903563037943,0.760284675463569,0.7225625320160965,0.9000488676239455,36,0.8611111111111112,0.713404696106438,0.9391818499086717,36.0,0.013846145271503369,0.01814690466651181,12.0
shift_naive,oracle_s_only,baseline,0.022544281629985008,-0.007971108026085541,0.0920442298198928,0.06301953188774251,0.05799724295301478,0.2952131279188708,0.36208996786060954,0.010918950086832047,0.002085952627658844,0.016693253845151048,0.0045766079343855385,0.0002815978641145875,1.9217776674234572e-05,0.0006342843145316266,4.928005676108247e-05,0.6301903563037943,0.760284675463569,0.7225625320160965,0.9000488676239455,36,0.8333333333333334,0.6810920568872054,0.9212955240498188,36.0,0.021521556048452142,0.029013771869784603,12.0
