level,regime_family,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff
3,shift_preserve,oracle_coords_only,depth7_high_capacity,0.17658583310470716,0.14965082392919532,0.21215764538779708,0.02847164326902883,0.044697790436741186,0.15113216412180414,0.31436877724805223,0.015235249725868925,0.0036438585467636585,0.009518093627970665,0.00670620372928679,0.0005635753234916057,3.578577304566555e-05,0.0001415307084134221,8.415188965055063e-05,,,,,6,1.0,0.6096657120978346,1.0,6.0
3,shift_preserve,oracle_s_only,baseline,0.1809345260167743,0.1398567995302754,0.22999775282207885,0.041965840664543196,0.053258168418618024,0.17788308162748656,0.3649730462793117,0.01709127507582307,0.0030843653973191974,0.008704236172232777,0.0015116088628768921,0.00062226116103687,1.7948843234757683e-05,0.00011581707987424831,1.0716443350860468e-05,,,,,6,1.0,0.6096657120978346,1.0,6.0
3,shift_preserve,oracle_s_only,depth4_light,0.18451232905372805,0.148617308909614,0.2211918216505901,0.03297787023896029,0.046465794325962484,0.1849459970783586,0.3734784644872823,0.01974618353545666,0.0010102741867303849,0.012433086990844458,0.0006997001804411411,0.0007455963804980598,3.729953163352546e-06,0.0002182500709373497,1.526252566133619e-06,,,,,6,1.0,0.6096657120978346,1.0,6.0
3,shift_preserve,oracle_s_only,depth7_high_capacity,0.20967551875619678,0.15920282268319141,0.2556934146914171,0.04215713994930227,0.06392417685836188,0.15113216412180414,0.3661058025619732,0.015235249725868925,0.002988070582598448,0.009518093627970665,0.005325969890505076,0.0005635753234916057,1.6110301343496963e-05,0.0001415307084134221,5.1016382182628326e-05,,,,,6,1.0,0.6096657120978346,1.0,6.0
3,tail_corr,oracle_coords_only,baseline,0.0176925535227557,-0.007975708631932673,0.046716718317126364,0.021182607203368543,0.033558016779386086,0.1966937942741034,0.21065571607843922,0.01452101560428273,0.0034951602056622504,0.01703541844971478,0.007566904839873314,0.0006026074476732233,3.489935072327668e-05,0.0005403058509680784,8.829619961950977e-05,,,,,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
3,tail_corr,oracle_coords_only,depth4_light,0.014229579052210825,-0.004322560938294514,0.03886252713753825,0.01935014932241773,0.02857936063523428,0.20125338571200324,0.2129133269190689,0.013990105883183423,0.0030317188705317674,0.01704395821224898,0.006379938683286309,0.0005509876300363578,1.903044501358506e-05,0.000513051693326155,0.0001082972720335582,,,,,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
3,tail_corr,oracle_coords_only,depth7_high_capacity,0.006372207951123532,-0.004000816049895214,0.03161223915881102,0.018558329138983153,0.025705675769653685,0.19422560309699793,0.19853481120830743,0.012258975024835672,0.004703326019272208,0.015515051721781492,0.00723296814924106,0.0003958767562826728,5.198087628262294e-05,0.0004683500479115296,0.0001299054697582917,,,,,18,0.7222222222222222,0.4912734343970254,0.8750024662044601,18.0
3,tail_corr,oracle_s_only,baseline,0.027683065566999288,0.00030336026587789037,0.06463714940839907,0.02381069379982032,0.036622653044515625,0.1966937942741034,0.2290560422094669,0.01452101560428273,0.00296772823035717,0.01703541844971478,0.003520303128659725,0.0006026074476732233,2.4175955549429084e-05,0.0005403058509680784,2.2150380009793777e-05,,,,,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
3,tail_corr,oracle_s_only,depth4_light,0.02271583554815293,0.004643193142058789,0.05918738731489097,0.020688825430709965,0.03383714001054328,0.20125338571200324,0.23010491350893994,0.013990105883183423,0.0018904622957110406,0.01704395821224898,0.003963371509499848,0.0005509876300363578,7.939956267761175e-06,0.000513051693326155,3.3326204567299e-05,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
3,tail_corr,oracle_s_only,depth7_high_capacity,0.02502117897583571,0.0020096379639920788,0.05416716190581835,0.020475936397059354,0.03441006835194106,0.19422560309699793,0.2203606658826252,0.012258975024835672,0.00419528154283762,0.015515051721781492,0.005022516945004463,0.0003958767562826728,3.7401030858109596e-05,0.0004683500479115296,5.553143020395223e-05,,,,,18,0.8888888888888888,0.672002348698212,0.9689804773543876,18.0
4,mixture_extremes,oracle_coords_only,baseline,0.05744381850546702,0.009592187678952036,0.11636907315010517,0.050911154172506426,0.09669157177666521,0.4525159642815418,0.5144943737161919,0.0017334334149956704,0.0005313909426331521,0.011769877947773785,0.0029607337944209575,1.5187035763273353e-05,7.703699905799662e-06,0.0007400779935312624,5.2424566078107584e-05,,,,,6,1.0,0.6096657120978346,1.0,6.0
4,mixture_extremes,oracle_coords_only,depth4_light,0.06810211900263384,0.01435385105339071,0.12581423466618447,0.0541389853773306,0.10706392378207671,0.44762786593968035,0.5164427840659718,0.001799613807350397,0.0005552370175719261,0.013099308907799423,0.002597574383765459,2.8170194780018547e-05,1.3365199074622973e-05,0.0007956419743422674,2.900956057043349e-05,,,,,6,1.0,0.6096657120978346,1.0,6.0
4,mixture_extremes,oracle_coords_only,depth7_high_capacity,0.061488957217318244,0.01355498511201303,0.12301331608842256,0.05234576800910978,0.10231607582471067,0.4443501322456908,0.5142066125488318,0.0010422209203243256,0.0006945462852716446,0.009920839853724465,0.0031806590750813484,1.2132352619692983e-05,7.605605655680492e-06,0.0005763257305108332,8.708609184441872e-05,,,,,6,1.0,0.6096657120978346,1.0,6.0
4,mixture_extremes,oracle_s_only,baseline,0.06901221392629021,0.01306595880694883,0.13061926857622352,0.05606503132377106,0.1031898003315084,0.4525159642815418,0.5212172385365903,0.0017334334149956704,0.00023359395749866964,0.011769877947773785,0.0021145579740405084,1.5187035763273353e-05,1.6116413275212336e-06,0.0007400779935312624,2.4250640469326852e-05,,,,,6,1.0,0.6096657120978346,1.0,6.0
